work_id,team_hss_dna_pct,_hss_main,year,arxiv_primary_category,log_team_size,log_prior_knowledge,has_any_openalex_metrics,usable_for_composition_analysis,log1p_openalex_matched_reference_count,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs
W2552465432,0.0,0.0,2016,cs.CV,1.3862943611198906,3.5263605246161616,1,1,3.4657359027997265,4.0,0.9724514629072172,0.0,0.642857142857142
W2511691466,5.0,5.0,2016,cs.CV,1.6094379124341005,3.367295829986474,1,1,2.6390573296152584,2.0,0.28683598305616,0.0,0.916666666666666
W2963250052,0.0,0.0,2015,stat.ML,0.6931471805599453,2.70805020110221,1,0,0.0,,,,
W2559991484,0.0,0.0,2016,cs.CV,1.6094379124341005,5.010635294096256,1,1,3.4011973816621555,1.0,0.0,0.0,1.0
W2565378226,9.62,9.62,2016,stat.ML,1.0986122886681098,4.02535169073515,1,1,2.4849066497880004,1.0,0.0,0.0,1.0
W2537458122,0.0,0.0,2016,cs.CV,1.791759469228055,3.737669618283368,1,0,0.0,,,,
W2952054472,1.75,1.75,2016,cs.CV,1.9459101490553128,4.174387269895637,1,1,3.4011973816621555,2.0,0.264052051825628,0.0,0.925925925925925
W4302343661,0.0,0.0,2016,cs.NE,0.6931471805599453,0.6931471805599453,1,0,0.0,,,,
W2464234964,5.37,5.37,2016,stat.ML,1.791759469228055,3.49650756146648,1,1,2.9444389791664403,1.0,0.0,0.0,1.0
W2560512785,1.54,1.54,2016,cs.LG,2.19722457733622,5.288267030694535,1,0,0.0,,,,
W1779483307,0.0,0.0,2015,cs.LG,0.6931471805599453,1.6094379124341005,1,0,0.0,,,,
W2259643685,0.0,0.0,2016,cs.LG,1.0986122886681098,4.127134385045092,1,0,0.0,,,,
W2561050497,0.0,0.0,2016,cs.LG,1.6094379124341005,4.976733742420574,1,0,0.0,,,,
W2951021768,0.0,0.0,2016,cs.CV,1.6094379124341005,5.673323267171493,1,1,3.7612001156935615,3.0,0.233172602373869,0.0,0.95
W2562221994,5.87,5.87,2016,stat.ML,2.079441541679836,4.158883083359672,1,0,0.0,,,,
W2530741948,5.88,5.88,2016,stat.ML,1.0986122886681098,3.7612001156935615,1,1,3.871201010907891,7.0,1.099268910064456,0.069767441860465,0.651162790697674
W2412589713,0.0,0.0,2016,stat.ML,1.0986122886681098,3.1354942159291497,1,1,3.1354942159291497,1.0,0.0,0.0,1.0
W2963501406,0.0,0.0,2015,cs.LG,1.6094379124341005,5.318119993844216,1,0,0.0,,,,
W2439880944,1.47,1.47,2016,stat.ML,2.19722457733622,4.465908118654584,1,1,3.367295829986474,6.0,1.096103599132013,0.038461538461538,0.6538461538461531
W2950338739,0.0,0.0,2016,cs.CR,1.3862943611198906,2.4849066497880004,1,0,0.0,,,,
W2176035349,0.0,0.0,2015,stat.ML,1.3862943611198906,4.189654742026425,1,1,3.332204510175204,5.0,1.025915840311924,0.0,0.695652173913043
W2416272112,0.0,0.0,2016,cs.LG,1.0986122886681098,5.176149732573829,1,1,2.70805020110221,3.0,0.535961049709069,0.076923076923076,0.846153846153846
W2269752429,0.0,0.0,2016,stat.ML,1.3862943611198906,4.736198448394496,1,1,2.70805020110221,1.0,0.0,0.0,1.0
W2559626456,0.0,0.0,2016,cs.LG,1.0986122886681098,4.454347296253507,1,1,2.995732273553991,3.0,0.485094091302211,0.0,0.866666666666666
W2469266052,1.96,1.96,2016,cs.CV,1.9459101490553128,4.634728988229636,1,1,3.49650756146648,4.0,0.7919327952430181,0.0,0.7241379310344821
W2558647090,23.34,23.34,2016,stat.ML,1.0986122886681098,2.6390573296152584,1,1,2.995732273553991,2.0,0.244930026794635,0.0,0.9333333333333332
W2554506842,20.15,20.15,2016,cs.LG,1.3862943611198906,3.49650756146648,1,0,0.0,,,,
W2951733136,0.0,0.0,2016,cs.CV,1.3862943611198906,4.007333185232471,1,1,3.4657359027997265,4.0,0.749962567906109,0.0,0.7741935483870961
W2302243225,0.0,0.0,2016,cs.CV,0.6931471805599453,0.6931471805599453,1,1,2.079441541679836,2.0,0.598269588585257,0.0,0.7142857142857141
W2950025457,0.0,0.0,2015,cs.CV,1.6094379124341005,4.8283137373023015,1,1,3.4011973816621555,3.0,0.798204295579866,0.0,0.678571428571428
W2572816092,5.0,5.0,2016,cs.LG,2.079441541679836,4.897839799950911,1,0,0.0,,,,
W2196707239,0.0,0.0,2015,cs.CV,1.3862943611198906,4.406719247264253,1,1,3.555348061489413,4.0,0.5950727898218281,0.0,0.8387096774193541
W2795910581,0.0,0.0,2016,cs.RO,1.791759469228055,4.787491742782046,1,1,5.375278407684165,7.0,0.8183947650970961,0.0,0.7035175879396981
W2564755245,0.0,0.0,2016,cs.CV,1.0986122886681098,2.079441541679836,1,1,2.9444389791664403,2.0,0.223718076065833,0.0,0.9411764705882352
W2950671334,0.0,0.0,2016,cs.CV,1.791759469228055,3.970291913552122,1,1,3.258096538021482,1.0,0.0,0.0,1.0
W2558578635,0.0,0.0,2016,cs.CV,1.6094379124341005,5.648974238161206,1,1,3.332204510175204,1.0,0.0,0.0,1.0
W284754667,0.0,0.0,2014,stat.ML,0.6931471805599453,2.8903717578961645,1,0,1.0986122886681098,,,,
W2584667682,0.0,0.0,2016,cs.CL,1.9459101490553128,5.634789603169249,1,1,2.833213344056216,1.0,0.0,0.0,1.0
W2599043313,0.0,0.0,2016,stat.ML,1.0986122886681098,3.367295829986474,1,0,0.0,,,,
W1544557312,0.0,0.0,2014,cs.LG,1.0986122886681098,2.3978952727983707,1,0,0.0,,,,
W2558687333,9.6,9.6,2016,stat.ML,1.3862943611198906,3.6635616461296463,1,1,3.295836866004329,3.0,0.501046913759096,0.0,0.8571428571428571
W2294780673,0.0,0.0,2016,cs.CV,1.3862943611198906,3.737669618283368,1,1,3.4339872044851463,3.0,0.32450838693107,0.0,0.923076923076923
W2951538594,0.0,0.0,2016,cs.CV,1.6094379124341005,5.60947179518496,1,1,3.9889840465642745,3.0,0.198821578103019,0.020408163265306,0.959183673469387
W2951652470,0.0,0.0,2016,cs.CL,1.0986122886681098,4.007333185232471,1,1,3.332204510175204,1.0,0.0,0.0,1.0
W2428952132,0.0,0.0,2016,cs.LG,1.6094379124341005,3.4339872044851463,1,1,3.367295829986474,4.0,0.484390116238003,0.0,0.884615384615384
W1852909287,0.0,0.0,2015,cs.NE,1.3862943611198906,3.7612001156935615,1,1,3.713572066704308,6.0,1.04564609877208,0.026315789473684,0.6578947368421051
W2560678327,9.94,9.94,2016,stat.ML,1.3862943611198906,3.1780538303479458,1,1,2.8903717578961645,2.0,0.271189373041844,0.0,0.923076923076923
W4300111288,13.97,13.97,2014,cs.LG,0.6931471805599453,2.772588722239781,1,0,0.0,,,,
W2287889828,0.0,0.0,2015,cs.CV,1.3862943611198906,4.248495242049359,1,1,4.07753744390572,2.0,0.092216057337191,0.0,0.9814814814814812
W2275365310,0.0,0.0,2016,cs.LG,1.3862943611198906,5.068904202220232,1,1,3.8501476017100575,4.0,0.378387007111836,0.0,0.916666666666666
W2534135591,0.0,0.0,2016,cs.LG,1.6094379124341005,3.912023005428146,1,1,3.737669618283368,3.0,0.5062608421468741,0.0,0.8571428571428571
W4294575421,0.0,0.0,2016,stat.ML,0.6931471805599453,1.3862943611198906,1,0,0.0,,,,
W1956526898,0.0,0.0,2015,cs.LG,1.6094379124341005,5.030437921392435,1,1,3.4011973816621555,2.0,0.15841057013179,0.0,0.962962962962962
W2559978439,0.0,0.0,2016,cs.CV,1.3862943611198906,4.07753744390572,1,1,3.295836866004329,2.0,0.184907399167775,0.045454545454545,0.954545454545454
W2537265010,14.36,14.36,2016,cs.AI,1.3862943611198906,4.330733340286331,1,1,3.044522437723423,4.0,0.790234755343282,0.058823529411764,0.764705882352941
W2562887561,0.0,0.0,2016,stat.ML,0.6931471805599453,2.833213344056216,1,1,3.367295829986474,3.0,0.419555892320233,0.0,0.8888888888888881
W2100820448,0.0,0.0,2015,cs.LG,1.0986122886681098,4.406719247264253,1,1,3.58351893845611,5.0,0.933142164646175,0.0,0.7272727272727271
W2343436474,0.0,0.0,2016,cs.CV,0.6931471805599453,1.9459101490553128,1,1,3.4657359027997265,1.0,0.0,0.0,1.0
W2950428484,0.0,0.0,2016,cs.CV,1.0986122886681098,3.737669618283368,1,1,3.367295829986474,2.0,0.348832095843031,0.111111111111111,0.8888888888888881
W2241785942,0.0,0.0,2015,cs.CV,1.9459101490553128,6.0112671744041615,1,1,3.49650756146648,1.0,0.0,0.0,1.0
