author_ids,T0_year,paper_count
https://openalex.org/A5100404407,2015,4
https://openalex.org/A5100408983,2015,4
https://openalex.org/A5100636655,2015,4
https://openalex.org/A5100758099,2015,4
https://openalex.org/A5101215390,2015,4
https://openalex.org/A5101511820,2015,4
https://openalex.org/A5101693712,2015,4
https://openalex.org/A5101919635,2015,4
https://openalex.org/A5101973708,2015,4
https://openalex.org/A5102912909,2015,4
https://openalex.org/A5107249743,2015,4
https://openalex.org/A5109124291,2015,4
https://openalex.org/A5111454036,2015,4
https://openalex.org/A5114686221,2015,4
https://openalex.org/A5001961716,2016,4
https://openalex.org/A5003428654,2016,4
https://openalex.org/A5006744007,2016,4
https://openalex.org/A5011398987,2016,4
https://openalex.org/A5012455275,2016,4
https://openalex.org/A5012475436,2016,4
https://openalex.org/A5015056626,2016,4
https://openalex.org/A5015817857,2016,4
https://openalex.org/A5023075376,2016,4
https://openalex.org/A5032285062,2016,4
https://openalex.org/A5035070214,2016,4
https://openalex.org/A5038456766,2016,4
https://openalex.org/A5040631193,2016,4
https://openalex.org/A5041969038,2016,4
https://openalex.org/A5052325109,2016,4
https://openalex.org/A5054582135,2016,4
https://openalex.org/A5056877599,2016,4
https://openalex.org/A5059614065,2016,4
https://openalex.org/A5064113904,2016,4
https://openalex.org/A5066199951,2016,4
https://openalex.org/A5068251515,2016,4
https://openalex.org/A5069565463,2016,4
https://openalex.org/A5072460783,2016,4
https://openalex.org/A5075057705,2016,4
https://openalex.org/A5076130922,2016,4
https://openalex.org/A5079875307,2016,4
https://openalex.org/A5081047759,2016,4
https://openalex.org/A5083099298,2016,4
https://openalex.org/A5091150085,2016,4
https://openalex.org/A5100329931,2016,4
https://openalex.org/A5100399466,2016,4
https://openalex.org/A5100406050,2016,4
https://openalex.org/A5101761266,2016,4
https://openalex.org/A5101958996,2016,4
https://openalex.org/A5103117760,2016,4
https://openalex.org/A5103733614,2016,4
https://openalex.org/A5110464999,2016,4
https://openalex.org/A5112542984,2016,4
https://openalex.org/A5113452656,2016,4
https://openalex.org/A5000111662,2014,3
https://openalex.org/A5000734437,2014,3
https://openalex.org/A5001224773,2014,3
https://openalex.org/A5001396675,2014,3
https://openalex.org/A5001441650,2014,3
https://openalex.org/A5003020003,2014,3
https://openalex.org/A5005058150,2014,3
https://openalex.org/A5007833782,2014,3
https://openalex.org/A5007916691,2014,3
https://openalex.org/A5010292297,2014,3
https://openalex.org/A5010575626,2014,3
https://openalex.org/A5011498965,2014,3
https://openalex.org/A5011639495,2014,3
https://openalex.org/A5012071123,2014,3
https://openalex.org/A5013097792,2014,3
https://openalex.org/A5013723114,2014,3
https://openalex.org/A5014611768,2014,3
https://openalex.org/A5014808785,2014,3
https://openalex.org/A5015261502,2014,3
https://openalex.org/A5015798259,2014,3
https://openalex.org/A5016877422,2014,3
https://openalex.org/A5016973102,2014,3
https://openalex.org/A5018301052,2014,3
https://openalex.org/A5018883645,2014,3
https://openalex.org/A5019708391,2014,3
https://openalex.org/A5019906371,2014,3
https://openalex.org/A5020196366,2014,3
https://openalex.org/A5020354604,2014,3
