author_id,active_phases,phases_count,total_papers_12y,avg_team_size_P1,avg_team_size_P2,avg_team_size_P3
https://openalex.org/A5108652283,Phase1 | Phase2 | Phase3,3,103,5.333333333333333,5.035714285714286,8.565217391304348
https://openalex.org/A5008056593,Phase1 | Phase2 | Phase3,3,103,4.0,6.0,6.534883720930233
https://openalex.org/A5068837264,Phase1 | Phase2 | Phase3,3,103,2.0,5.357142857142857,6.5227272727272725
https://openalex.org/A5070642269,Phase1 | Phase2 | Phase3,3,102,4.25,5.391304347826087,8.6
https://openalex.org/A5014044649,Phase1 | Phase2 | Phase3,3,102,5.0,5.823529411764706,8.154761904761905
https://openalex.org/A5100420016,Phase1 | Phase2 | Phase3,3,102,4.0,5.142857142857143,7.252873563218391
https://openalex.org/A5088551093,Phase1 | Phase2 | Phase3,3,102,7.0,6.0625,12.128205128205128
https://openalex.org/A5080823547,Phase1 | Phase2 | Phase3,3,101,3.0,4.074074074074074,5.945205479452055
https://openalex.org/A5100412598,Phase1 | Phase2 | Phase3,3,101,4.0,3.875,6.9222222222222225
https://openalex.org/A5018976680,Phase1 | Phase2 | Phase3,3,100,3.0,3.4838709677419355,5.397058823529412
https://openalex.org/A5071093940,Phase1 | Phase2 | Phase3,3,99,5.0,5.625,7.524390243902439
https://openalex.org/A5023752172,Phase1 | Phase2 | Phase3,3,99,4.0,6.277777777777778,5.7594936708860756
https://openalex.org/A5066553616,Phase1 | Phase2 | Phase3,3,97,7.0,5.9411764705882355,8.848101265822784
https://openalex.org/A5100397616,Phase1 | Phase2 | Phase3,3,97,4.6,5.694444444444445,6.714285714285714
https://openalex.org/A5112542984,Phase1 | Phase2 | Phase3,3,97,4.25,4.7555555555555555,6.833333333333333
https://openalex.org/A5082767919,Phase1 | Phase2 | Phase3,3,96,5.0,4.206896551724138,5.123076923076923
https://openalex.org/A5100701572,Phase1 | Phase2 | Phase3,3,96,7.333333333333333,7.17948717948718,6.266666666666667
https://openalex.org/A5057678172,Phase1 | Phase2 | Phase3,3,95,3.75,5.166666666666667,5.377049180327869
https://openalex.org/A5101564904,Phase1 | Phase2 | Phase3,3,95,5.0,6.689655172413793,7.246153846153846
https://openalex.org/A5066305082,Phase1 | Phase2 | Phase3,3,94,5.0,4.409090909090909,5.633802816901408
https://openalex.org/A5042507268,Phase1 | Phase2 | Phase3,3,94,4.0,4.818181818181818,5.670731707317073
https://openalex.org/A5010253402,Phase1 | Phase2 | Phase3,3,94,16.666666666666668,9.036363636363637,12.027777777777779
https://openalex.org/A5005771535,Phase1 | Phase2 | Phase3,3,94,2.5,3.7,4.105263157894737
https://openalex.org/A5076635608,Phase1 | Phase2 | Phase3,3,94,4.0,5.733333333333333,7.129032258064516
https://openalex.org/A5100381999,Phase1 | Phase2 | Phase3,3,94,4.0,6.2631578947368425,6.256756756756757
https://openalex.org/A5028476919,Phase1 | Phase2 | Phase3,3,93,3.0,4.096153846153846,4.6923076923076925
https://openalex.org/A5051184573,Phase1 | Phase2 | Phase3,3,93,3.0,5.071428571428571,5.84375
https://openalex.org/A5107893340,Phase1 | Phase2 | Phase3,3,92,6.0,6.166666666666667,9.73076923076923
https://openalex.org/A5103178893,Phase1 | Phase2 | Phase3,3,92,7.0,5.0625,6.824324324324325
https://openalex.org/A5100693798,Phase1 | Phase2 | Phase3,3,92,3.5714285714285716,4.769230769230769,5.652777777777778
https://openalex.org/A5087088138,Phase1 | Phase2 | Phase3,3,92,2.5,8.333333333333334,4.848484848484849
https://openalex.org/A5100397026,Phase1 | Phase2 | Phase3,3,91,6.0,5.068181818181818,6.288888888888889
https://openalex.org/A5038668215,Phase1 | Phase2 | Phase3,3,90,5.0,5.777777777777778,7.5125
https://openalex.org/A5100427076,Phase1 | Phase2 | Phase3,3,90,4.0,5.5813953488372094,5.555555555555555
https://openalex.org/A5086603207,Phase1 | Phase2 | Phase3,3,90,5.333333333333333,7.076923076923077,9.285714285714286
https://openalex.org/A5112608251,Phase1 | Phase2 | Phase3,3,89,5.2,5.2,5.275862068965517
https://openalex.org/A5007639385,Phase1 | Phase2 | Phase3,3,89,5.0,4.45,5.142857142857143
https://openalex.org/A5102883508,Phase1 | Phase2 | Phase3,3,89,4.0,6.387096774193548,5.803571428571429
https://openalex.org/A5115602506,Phase1 | Phase2 | Phase3,3,89,5.0,4.055555555555555,6.72463768115942
https://openalex.org/A5030468199,Phase1 | Phase2 | Phase3,3,89,4.5,5.96969696969697,8.333333333333334
https://openalex.org/A5055505703,Phase1 | Phase2 | Phase3,3,89,5.0,4.891891891891892,6.117647058823529
https://openalex.org/A5001571390,Phase1 | Phase2 | Phase3,3,88,4.0,6.324324324324325,8.3
https://openalex.org/A5074210163,Phase1 | Phase2 | Phase3,3,88,2.6666666666666665,3.3469387755102042,5.303030303030303
https://openalex.org/A5071983998,Phase1 | Phase2 | Phase3,3,87,3.0,5.081081081081081,6.651162790697675
https://openalex.org/A5049349154,Phase1 | Phase2 | Phase3,3,86,6.0,5.352941176470588,5.676923076923077
https://openalex.org/A5068803496,Phase1 | Phase2 | Phase3,3,86,4.5,5.043478260869565,4.830508474576271
https://openalex.org/A5025155327,Phase1 | Phase2 | Phase3,3,86,18.428571428571427,22.358974358974358,23.0
https://openalex.org/A5028597017,Phase1 | Phase2 | Phase3,3,85,5.0,4.814814814814815,6.25
https://openalex.org/A5036987388,Phase1 | Phase2 | Phase3,3,85,6.0,5.178571428571429,6.232142857142857
https://openalex.org/A5013151488,Phase1 | Phase2 | Phase3,3,84,5.5,5.6,5.388059701492537
https://openalex.org/A5053011888,Phase1 | Phase2 | Phase3,3,84,3.0,3.9642857142857144,4.7272727272727275
https://openalex.org/A5066940046,Phase1 | Phase2 | Phase3,3,84,8.0,3.8846153846153846,4.43859649122807
https://openalex.org/A5065368881,Phase1 | Phase2 | Phase3,3,83,4.0,5.904761904761905,7.416666666666667
https://openalex.org/A5033585021,Phase1 | Phase2 | Phase3,3,82,7.0,4.923076923076923,8.985294117647058
https://openalex.org/A5100435848,Phase1 | Phase2 | Phase3,3,82,5.0,5.642857142857143,5.6415094339622645
https://openalex.org/A5101884287,Phase1 | Phase2 | Phase3,3,82,7.0,7.078431372549019,8.827586206896552
https://openalex.org/A5035876897,Phase1 | Phase2 | Phase3,3,82,4.0,4.285714285714286,4.566666666666666
https://openalex.org/A5005221518,Phase1 | Phase2 | Phase3,3,82,13.9375,18.868852459016395,15.4
https://openalex.org/A5016448581,Phase1 | Phase2 | Phase3,3,81,5.6,6.632352941176471,7.0
https://openalex.org/A5100668121,Phase1 | Phase2 | Phase3,3,81,5.0,7.0,7.904109589041096
https://openalex.org/A5058353424,Phase1 | Phase2 | Phase3,3,81,4.0,5.357142857142857,7.5576923076923075
https://openalex.org/A5005431772,Phase1 | Phase2 | Phase3,3,80,4.0,18.428571428571427,13.097222222222221
https://openalex.org/A5028641941,Phase1 | Phase2 | Phase3,3,80,6.0,4.666666666666667,6.739726027397261
https://openalex.org/A5024278302,Phase1 | Phase2 | Phase3,3,79,7.0,4.666666666666667,5.739130434782608
https://openalex.org/A5028465673,Phase1 | Phase2 | Phase3,3,79,3.0,6.411764705882353,7.459016393442623
https://openalex.org/A5075796989,Phase1 | Phase2 | Phase3,3,78,3.0,2.9545454545454546,3.9444444444444446
https://openalex.org/A5053947568,Phase1 | Phase2 | Phase3,3,78,4.0,4.176470588235294,4.220338983050848
https://openalex.org/A5100403129,Phase1 | Phase2 | Phase3,3,78,6.0,5.1,7.358208955223881
https://openalex.org/A5109565051,Phase1 | Phase2 | Phase3,3,78,2.0,4.454545454545454,6.196969696969697
https://openalex.org/A5100447691,Phase1 | Phase2 | Phase3,3,77,5.5,6.315789473684211,6.277777777777778
https://openalex.org/A5100394297,Phase1 | Phase2 | Phase3,3,77,4.0,5.846153846153846,5.94
https://openalex.org/A5045872048,Phase1 | Phase2 | Phase3,3,77,5.0,4.764705882352941,4.804878048780488
https://openalex.org/A5051534545,Phase1 | Phase2 | Phase3,3,76,5.2,4.166666666666667,5.446808510638298
https://openalex.org/A5086717154,Phase1 | Phase2 | Phase3,3,76,2.0,3.2916666666666665,3.6666666666666665
https://openalex.org/A5064805926,Phase1 | Phase2 | Phase3,3,76,4.0,4.2,6.96875
https://openalex.org/A5050817770,Phase1 | Phase2 | Phase3,3,76,4.0,5.647058823529412,7.051724137931035
https://openalex.org/A5038456766,Phase1 | Phase2 | Phase3,3,76,3.0,8.263157894736842,5.226415094339623
https://openalex.org/A5100409994,Phase1 | Phase2 | Phase3,3,76,4.0,4.5,6.035087719298246
https://openalex.org/A5076031002,Phase1 | Phase2 | Phase3,3,76,4.333333333333333,3.125,4.6
https://openalex.org/A5019715118,Phase1 | Phase2 | Phase3,3,76,5.0,5.842105263157895,7.839285714285714
https://openalex.org/A5112713734,Phase1 | Phase2 | Phase3,3,75,6.0,5.975,18.61764705882353
https://openalex.org/A5014436524,Phase1 | Phase2 | Phase3,3,75,3.0,5.958333333333333,6.68
https://openalex.org/A5101441137,Phase1 | Phase2 | Phase3,3,75,8.0,5.34375,8.5
https://openalex.org/A5078330211,Phase1 | Phase2 | Phase3,3,75,5.0,5.448979591836735,4.32
https://openalex.org/A5015431603,Phase1 | Phase2 | Phase3,3,74,6.0,4.266666666666667,5.4363636363636365
https://openalex.org/A5100643265,Phase1 | Phase2 | Phase3,3,74,4.0,4.555555555555555,8.734375
https://openalex.org/A5076610826,Phase1 | Phase2 | Phase3,3,74,7.0,3.1875,4.7560975609756095
https://openalex.org/A5004829991,Phase1 | Phase2 | Phase3,3,74,2.0,4.75,7.387755102040816
https://openalex.org/A5042127858,Phase1 | Phase2 | Phase3,3,74,4.0,4.576923076923077,5.446808510638298
https://openalex.org/A5109600054,Phase1 | Phase2 | Phase3,3,73,7.0,6.56,7.0638297872340425
https://openalex.org/A5082106258,Phase1 | Phase2 | Phase3,3,73,7.0,8.5,8.563636363636364
https://openalex.org/A5027124439,Phase1 | Phase2 | Phase3,3,73,3.5,3.1538461538461537,4.913793103448276
https://openalex.org/A5020994673,Phase1 | Phase2 | Phase3,3,73,3.6666666666666665,4.511111111111111,4.04
https://openalex.org/A5040372929,Phase1 | Phase2 | Phase3,3,72,4.857142857142857,4.764705882352941,5.770833333333333
https://openalex.org/A5021751767,Phase1 | Phase2 | Phase3,3,72,4.0,4.6875,5.5636363636363635
https://openalex.org/A5021667085,Phase1 | Phase2 | Phase3,3,72,4.0,5.959183673469388,4.9
