author_id,year,avg_logRCR,yearly_paper_count,total_papers_raw,is_treated,event_year,relative_year,Post,DID_term,primary_origin_field,T0_year
A5074645479,2016,1.550597412411167,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5066756066,2016,1.550597412411167,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5090707276,2016,1.0986122886681098,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5100384144,2016,1.0986122886681098,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5028762600,2014,3.258096538021482,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5003505503,2015,1.252762968495368,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5101754632,2015,1.252762968495368,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5075903779,2014,2.9444389791664403,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5053824527,2015,2.0149030205422647,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5100425466,2016,1.1895840668738364,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5103253377,2015,1.8718021769015913,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5035120489,2015,1.3862943611198906,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5100440300,2015,1.791759469228055,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5073305817,2015,2.0794415416798357,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5108685730,2015,1.7047480922384253,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5030884145,2014,2.302585092994046,1,1,0,9999,,0.0,0.0,Engineering,2014
A5083814185,2016,1.0986122886681098,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5024626195,2016,1.0986122886681098,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5086628680,2016,1.349926716949016,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5050462733,2016,1.2321436812926323,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5100397616,2014,2.772588722239781,1,1,1,2016,-2.0,0.0,0.0,Computer Science,2014
A5100860846,2014,2.772588722239781,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5042591071,2015,1.6094379124341003,1,1,0,9999,,0.0,0.0,Engineering,2015
A5100397616,2016,0.5693088116409044,2,2,1,2016,0.0,1.0,1.0,Computer Science,2014
A5052993469,2016,0.8873031950009028,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016
A5074987941,2015,1.252762968495368,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5100860846,2015,1.8718021769015913,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5101604646,2014,2.3978952727983707,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5101840514,2014,2.3978952727983707,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5083182987,2016,0.7621400520468967,1,1,1,2017,-1.0,0.0,0.0,Mathematics,2015
A5020354604,2014,1.9459101490553132,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5091385020,2014,1.9459101490553132,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5101462815,2015,1.0397207708399179,2,2,0,9999,,0.0,0.0,Computer Science,2015
A5027196976,2015,1.3862943611198906,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5112241739,2014,2.302585092994046,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5014427335,2016,0.6190392084062234,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5076464455,2016,1.0498221244986776,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2015
A5007949063,2015,0.7472144018302211,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5040587162,2015,0.7811412863492398,4,4,0,9999,,0.0,0.0,Computer Science,2015
A5071163800,2015,1.252762968495368,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5031749307,2015,0.7811412863492398,4,4,0,9999,,0.0,0.0,Computer Science,2015
A5082305673,2014,0.6931471805599453,1,1,0,9999,,0.0,0.0,Medicine,2014
A5076464455,2015,1.252762968495368,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2015
A5034685928,2015,1.6094379124341003,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5070714100,2015,1.8718021769015913,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5035830278,2016,0.24510316828162748,2,2,0,9999,,0.0,0.0,Agricultural and Biological Sciences,2016
A5027727910,2014,0.6931471805599453,1,1,0,9999,,0.0,0.0,Medicine,2014
A5085802054,2016,0.6931471805599453,1,1,0,9999,,0.0,0.0,Engineering,2016
A5039798533,2016,0.6931471805599453,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5103291241,2016,0.35667494393873234,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5026695021,2016,0.3513978868378886,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5065766320,2015,0.6931471805599453,1,1,0,9999,,0.0,0.0,Computer Science,2015
