GENERAL ELECTRIC (GE AEROSPACE,美国
MERCADONA,西班牙
HONEYWELL INTERNATIONAL,美国
HANGZHOU IRON AND STEEL GROUP,中国
GUANGZHOU INDUSTRIAL INVESTMENT HOLDINGS,中国
SHANGHAI PHARMACEUTICALS HOLDING,中国
SUZUKI MOTOR,日本
VALE,巴西
THYSSENKRUPP,德国
SALESFORCE,美国
PHILIP MORRIS INTERNATIONAL,美国
US FOODS HOLDING,美国
SHENZHEN INVESTMENT HOLDINGS,中国
WESTPAC BANKING,澳大利亚
JIANGSU SHAGANG GROUP,中国
AIA GROUP,中国
GUANGDONG GUANGXIN HOLDINGS GROUP,中国
QNB GROUP,卡塔尔
NATWEST GROUP,英国
LA POSTE,法国
SIEMENS ENERGY,德国
LUXSHARE PRECISION INDUSTRY,中国
ENERGIE BADEN-WÜRTTEMBERG,德国
SUNCOR ENERGY,加拿大
NEW HOPE HOLDING GROUP,中国
CHINA ELECTRONICS,中国
LG CHEM,韩国
SAP,德国
MIGROS GROUP,瑞士
MEIJI YASUDA LIFE INSURANCE,日本
D.R. HORTON,美国
OMV GROUP,奥地利
LITHIA MOTORS,美国
CFE,墨西哥
MONDELEZ INTERNATIONAL,美国
SCHLUMBERGER,美国
ANSTEEL GROUP,中国
MITSUBISHI ELECTRIC,日本
JERÓNIMO MARTINS,葡萄牙
STARBUCKS,美国
HAILIANG GROUP,中国
MAPFRE GROUP,西班牙
CK HUTCHISON HOLDINGS,中国
ELO GROUP,法国
VISA,美国
CHINA DATANG,中国
CRRC GROUP,中国
JARDINE MATHESON,中国
SOMPO HOLDINGS,日本
TONGLING NONFERROUS METALS GROUP,中国
CBRE GROUP,美国
RABOBANK GROUP,荷兰
SHUDAO INVESTMENT GROUP,中国
GUANGZHOU MUNICIPAL CONSTRUCTION GROUP,中国
DAIWA HOUSE INDUSTRY,日本
CRH,爱尔兰
LENNAR,美国
GUANGZHOU PHARMACEUTICAL HOLDINGS,中国
