work_id,year,arxiv_type,status_std,has_any_openalex_metrics,has_openalex_references,usable_for_count_analysis,composition_metrics_eligible,usable_for_composition_analysis,openalex_matched_reference_count,log1p_openalex_matched_reference_count,openalex_topic_resolved_reference_count,openalex_topic_missing_reference_count,openalex_reference_field_diversity_raw,openalex_reference_entropy_raw,hss_share_among_matched_refs_raw,cs_share_among_matched_refs_raw,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs,flag_blank_status,flag_status_inferred,flag_not_enriched,flag_no_openalex_references,flag_ok_count_only,flag_ok_for_composition,flag_count_missing,flag_count_zero,flag_count_positive,flag_zero_but_raw_composition_not_missing,flag_positive_count_but_no_topic_resolved,flag_topic_resolved_gt_total,flag_topic_missing_gt_total
W2961640073,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,18.0,2.9444389791664403,17.0,1.0,5.0,1.08776129306878,0.7058823529411761,0.176470588235294,5.0,1.08776129306878,0.7058823529411761,0.176470588235294,0,1,0,0,0,1,0,0,1,0,0,0,0
W3212857555,2021,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,76.0,4.343805421853684,59.0,17.0,3.0,0.596705535915327,0.0,0.7966101694915251,3.0,0.596705535915327,0.0,0.7966101694915251,0,1,0,0,0,1,0,0,1,0,0,0,0
W2982652483,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,36.0,3.6109179126442243,34.0,2.0,3.0,0.264491439628183,0.029411764705882,0.9411764705882352,3.0,0.264491439628183,0.029411764705882,0.9411764705882352,0,1,0,0,0,1,0,0,1,0,0,0,0
W3025572566,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,22.0,3.1354942159291497,19.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2951011353,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,47.0,3.871201010907891,44.0,3.0,2.0,0.108471339035916,0.022727272727272,0.9772727272727272,2.0,0.108471339035916,0.022727272727272,0.9772727272727272,0,1,0,0,0,1,0,0,1,0,0,0,0
W3172246306,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,10.0,2.3978952727983707,5.0,5.0,2.0,0.5004024235381871,0.2,0.8,2.0,0.5004024235381871,0.2,0.8,0,1,0,0,0,1,0,0,1,0,0,0,0
W3022799626,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,39.0,3.6888794541139363,34.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3001776555,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,21.0,3.091042453358316,20.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3123622441,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,15.0,2.772588722239781,12.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2991671759,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,14.0,2.70805020110221,11.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
