author_id,T0_year,paper_count
https://openalex.org/A5000814492,2017,1
https://openalex.org/A5000818065,2017,8
https://openalex.org/A5000819514,2017,1
https://openalex.org/A5000819914,2017,1
https://openalex.org/A5000823360,2017,1
https://openalex.org/A5000824479,2017,1
https://openalex.org/A5000824765,2017,9
https://openalex.org/A5000830251,2017,1
https://openalex.org/A5000830561,2017,1
https://openalex.org/A5000833132,2017,4
https://openalex.org/A5000833337,2017,1
https://openalex.org/A5000834559,2017,1
https://openalex.org/A5000836279,2017,1
https://openalex.org/A5000840293,2017,2
https://openalex.org/A5000843913,2017,1
https://openalex.org/A5000846167,2017,1
https://openalex.org/A5000847295,2017,1
https://openalex.org/A5000850918,2017,1
https://openalex.org/A5000853218,2017,2
https://openalex.org/A5000858956,2017,4
https://openalex.org/A5000863924,2017,1
https://openalex.org/A5000864631,2017,1
https://openalex.org/A5000867083,2017,9
https://openalex.org/A5000867289,2017,1
https://openalex.org/A5000873913,2017,1
https://openalex.org/A5000874881,2017,1
https://openalex.org/A5000875153,2017,1
https://openalex.org/A5000878907,2017,1
https://openalex.org/A5000880030,2017,1
https://openalex.org/A5000881824,2017,1
https://openalex.org/A5000882226,2017,11
https://openalex.org/A5000883962,2017,3
https://openalex.org/A5000887951,2017,1
https://openalex.org/A5000895561,2017,1
https://openalex.org/A5000897156,2017,2
https://openalex.org/A5000898128,2017,1
https://openalex.org/A5000904370,2017,2
https://openalex.org/A5000904512,2017,2
https://openalex.org/A5000909128,2017,8
https://openalex.org/A5000913628,2017,1
https://openalex.org/A5000913843,2017,1
https://openalex.org/A5000915134,2017,1
https://openalex.org/A5000916116,2017,1
https://openalex.org/A5000924405,2017,1
https://openalex.org/A5000927197,2017,5
https://openalex.org/A5000930223,2017,3
https://openalex.org/A5000933919,2017,1
https://openalex.org/A5000934094,2017,2
https://openalex.org/A5000940158,2017,4
https://openalex.org/A5000941364,2017,2
https://openalex.org/A5000942164,2017,6
https://openalex.org/A5000942848,2017,1
https://openalex.org/A5000944047,2017,8
https://openalex.org/A5000948270,2017,7
https://openalex.org/A5000959210,2017,2
https://openalex.org/A5000959667,2017,1
https://openalex.org/A5000962357,2017,1
https://openalex.org/A5000962919,2017,2
https://openalex.org/A5000963958,2017,2
https://openalex.org/A5000966530,2017,1
https://openalex.org/A5000968319,2017,1
https://openalex.org/A5000972854,2017,21
https://openalex.org/A5000973184,2017,1
https://openalex.org/A5000975435,2017,3
https://openalex.org/A5000976537,2017,5
https://openalex.org/A5000977264,2017,2
https://openalex.org/A5000977939,2017,1
https://openalex.org/A5000983569,2017,6
https://openalex.org/A5000986930,2017,1
https://openalex.org/A5000987246,2017,1
https://openalex.org/A5000994184,2017,18
https://openalex.org/A5000998343,2017,1
https://openalex.org/A5000999912,2017,2
https://openalex.org/A5001003199,2017,1
https://openalex.org/A5001004083,2017,1
https://openalex.org/A5001004218,2017,2
https://openalex.org/A5001005188,2017,4
https://openalex.org/A5001005542,2017,1
https://openalex.org/A5001006843,2017,1
https://openalex.org/A5001009310,2017,2
https://openalex.org/A5001011428,2017,1
https://openalex.org/A5001012632,2017,9
https://openalex.org/A5001018870,2017,3
https://openalex.org/A5001019738,2017,4
https://openalex.org/A5001021202,2017,1
https://openalex.org/A5001021358,2017,2
https://openalex.org/A5001022411,2017,4
